iter	Passed	Remaining
0	176	175839
1	178	88871
2	179	59541
3	180	44857
4	181	36035
5	182	30152
6	182	25938
7	183	22780
8	184	20328
9	185	18357
10	186	16746
11	187	15400
12	187	14265
13	188	13293
14	189	12448
15	190	11708
16	191	11054
17	192	10481
18	193	9971
19	194	9513
20	195	9092
21	195	8708
22	196	8361
23	197	8046
24	198	7757
25	200	7495
26	201	7246
27	202	7020
28	203	6808
29	204	6614
30	205	6421
31	206	6244
32	207	6073
33	208	5911
34	208	5760
35	209	5616
36	210	5480
37	211	5353
38	212	5235
39	213	5121
40	214	5009
41	215	4907
42	216	4808
43	216	4711
44	217	4618
45	218	4530
46	219	4446
47	220	4365
48	220	4287
49	221	4212
50	222	4138
51	223	4070
52	224	4002
53	224	3939
54	225	3877
55	226	3817
56	227	3760
57	228	3703
58	228	3648
59	229	3596
60	230	3546
61	231	3498
62	232	3450
63	232	3405
64	233	3361
65	234	3318
66	235	3276
67	236	3236
68	236	3197
69	237	3159
70	238	3122
71	239	3086
72	240	3051
73	241	3017
74	241	2983
75	242	2951
76	243	2919
77	244	2890
78	245	2859
79	246	2830
80	246	2801
81	247	2772
82	248	2744
83	249	2716
84	249	2689
85	250	2663
86	251	2637
87	252	2612
88	252	2588
89	253	2563
90	254	2541
91	255	2519
92	256	2497
93	256	2476
94	257	2455
95	258	2434
96	259	2415
97	260	2396
98	261	2377
99	262	2359
100	263	2343
101	264	2325
102	265	2309
103	266	2293
104	267	2277
105	268	2261
106	268	2244
107	269	2228
108	270	2212
109	271	2197
110	272	2181
111	273	2166
112	274	2152
113	275	2137
114	276	2124
115	276	2109
116	277	2096
117	278	2083
118	279	2070
119	280	2056
120	281	2043
121	282	2030
122	283	2018
123	283	2006
124	284	1993
125	285	1981
126	286	1969
127	287	1957
128	288	1946
129	289	1936
130	290	1925
131	291	1915
132	292	1904
133	292	1893
134	293	1882
135	294	1872
136	295	1861
137	296	1851
138	297	1842
139	298	1831
140	299	1822
141	299	1811
142	300	1802
143	301	1793
144	302	1784
145	303	1775
146	304	1766
147	305	1757
148	306	1748
149	306	1739
150	307	1730
151	308	1722
152	309	1713
153	310	1705
154	311	1696
155	312	1688
156	312	1680
157	313	1672
158	314	1664
159	315	1656
160	316	1649
161	317	1641
162	318	1633
163	319	1626
164	319	1618
165	320	1611
166	321	1604
167	322	1597
168	323	1589
169	324	1582
170	325	1575
171	325	1569
172	326	1562
173	327	1555
174	328	1548
175	329	1541
176	330	1535
177	331	1529
178	331	1520
179	332	1514
180	332	1505
181	333	1499
182	334	1492
183	335	1486
184	336	1480
185	336	1474
186	337	1467
187	338	1461
188	339	1456
189	340	1452
190	341	1446
191	342	1440
192	343	1435
193	344	1429
194	344	1424
195	345	1418
196	346	1412
197	347	1407
198	348	1402
199	349	1397
200	350	1391
201	350	1386
202	351	1381
203	352	1376
204	353	1371
205	354	1366
206	355	1361
207	356	1356
208	357	1351
209	358	1346
210	358	1341
211	359	1336
212	360	1332
213	361	1327
214	362	1323
215	363	1318
216	364	1313
217	365	1309
218	365	1304
219	366	1300
220	367	1295
221	368	1291
222	369	1286
223	370	1282
224	371	1278
225	371	1273
226	372	1269
227	373	1265
228	374	1260
229	375	1256
230	376	1252
231	377	1248
232	377	1244
233	378	1240
234	379	1236
235	380	1232
236	381	1228
237	382	1224
238	383	1220
239	384	1216
240	384	1212
241	385	1208
242	386	1204
243	387	1201
244	388	1197
245	389	1193
246	390	1189
247	391	1186
248	392	1182
249	393	1179
250	393	1175
251	394	1171
252	395	1168
253	396	1164
254	397	1161
255	398	1157
